"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"10-14 years"	"10-14"	Suppressed	901	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"15-19 years"	"15-19"	Suppressed	914	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"20-24 years"	"20-24"	Suppressed	613	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"25-34 years"	"25-34"	Suppressed	1153	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"35-44 years"	"35-44"	Suppressed	1771	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"45-54 years"	"45-54"	Suppressed	2579	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"55-64 years"	"55-64"	16	2811	569.19 (Unreliable)
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"65-74 years"	"65-74"	39	2454	1589.24
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"75-84 years"	"75-84"	53	1263	4196.36
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"85+ years"	"85+"	61	480	12708.33
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	158	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	649	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"5-9 years"	"5-9"	Suppressed	749	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"10-14 years"	"10-14"	Suppressed	881	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"15-19 years"	"15-19"	Suppressed	886	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"20-24 years"	"20-24"	Suppressed	595	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"25-34 years"	"25-34"	Suppressed	1175	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"35-44 years"	"35-44"	Suppressed	1666	Suppressed
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"45-54 years"	"45-54"	12	2545	471.51 (Unreliable)
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"55-64 years"	"55-64"	20	2820	709.22
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"65-74 years"	"65-74"	37	2553	1449.28
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"75-84 years"	"75-84"	43	1240	3467.74
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"85+ years"	"85+"	84	505	16633.66
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	141	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	625	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"5-9 years"	"5-9"	Suppressed	758	Suppressed
